date,value
2023-10-01,73.4
2023-10-02,59.2
2023-10-03,63.9
2023-10-04,69.1
2023-10-05,58.6
2023-10-06,58.6
2023-10-07,40.5
2023-10-08,37.7
2023-10-09,57.2
2023-10-10,63.3
2023-10-11,57.2
2023-10-12,57.2
2023-10-13,61.5
2023-10-14,28.3
2023-10-15,58.0
2023-10-16,56.6
2023-10-17,53.9
2023-10-18,61.9
2023-10-19,54.6
2023-10-20,51.5
2023-10-21,40.1
2023-10-22,34.2
2023-10-23,60.4
2023-10-24,51.5
2023-10-25,56.7
2023-10-26,60.7
2023-10-27,53.1
2023-10-28,36.3
2023-10-29,32.9
2023-10-30,58.2
2023-10-31,112.8
