Group,Value
Control,26.4901424590337
Control,24.585207096486446
Control,26.94306561430208
Control,29.569089569224076
Control,24.29753987582999
Control,24.29758912915246
Control,29.737638446522176
Control,27.302304187458727
Control,23.591576842195146
Control,26.627680130757895
Treatment A,33.14632922875015
Treatment A,33.137080985718974
Treatment A,35.96784908626414
Treatment A,27.346879021368807
Treatment A,28.10032866994787
Treatment A,32.75084988303611
Treatment A,30.948675518662306
Treatment A,36.256989330381096
Treatment A,31.367903697915157
Treatment A,29.350785194658833
Treatment B,35.12977069122544
Treatment B,29.209782948297125
Treatment B,30.236348716407733
Treatment B,25.0133813482529
Treatment B,28.094660464161862
Treatment B,30.388229063984532
Treatment B,25.971522479021942
Treatment B,31.314943064209853
Treatment B,27.897764585284182
Treatment B,28.97907187572353
Treatment C,37.29232024496771
Treatment C,48.33525183029022
Treatment C,39.9392624886793
Treatment C,35.24030081969845
Treatment C,43.70145210446435
Treatment C,34.5062035751304
Treatment C,40.9398861775214
Treatment C,31.18148444254101
Treatment C,34.02316277995706
Treatment C,40.885875561411055
